stock,date,price
AMZN,2001-04-30,0.789
AMZN,2001-05-01,0.845
AMZN,2001-05-02,0.855
AMZN,2001-05-03,0.838
AMZN,2001-05-04,0.878
AMZN,2001-05-07,0.846
AMZN,2001-05-08,0.809
AMZN,2001-05-09,0.751
AMZN,2001-05-10,0.731
AMZN,2001-05-11,0.734
AMZN,2001-05-14,0.667
AMZN,2001-05-15,0.677
AMZN,2001-05-16,0.707
AMZN,2001-05-17,0.739
AMZN,2001-05-18,0.736
AMZN,2001-05-21,0.819
AMZN,2001-05-22,0.813
AMZN,2001-05-23,0.78
AMZN,2001-05-24,0.838
AMZN,2001-05-25,0.855
AMZN,2001-05-29,0.861
AMZN,2001-05-30,0.783
AMZN,2001-05-31,0.835
AMZN,2001-06-01,0.847
AMZN,2001-06-04,0.846
AMZN,2001-06-05,0.822
AMZN,2001-06-06,0.8
AMZN,2001-06-07,0.807
AMZN,2001-06-08,0.785
AMZN,2001-06-11,0.743
AMZN,2001-06-12,0.732
AMZN,2001-06-13,0.706
AMZN,2001-06-14,0.665
AMZN,2001-06-15,0.625
AMZN,2001-06-18,0.592
AMZN,2001-06-19,0.568
AMZN,2001-06-20,0.627
AMZN,2001-06-21,0.654
AMZN,2001-06-22,0.62
AMZN,2001-06-25,0.641
AMZN,2001-06-26,0.663
AMZN,2001-06-27,0.702
AMZN,2001-06-28,0.718
AMZN,2001-06-29,0.708
AMZN,2001-07-02,0.726
AMZN,2001-07-03,0.707
AMZN,2001-07-05,0.764
AMZN,2001-07-06,0.764
AMZN,2001-07-09,0.791
AMZN,2001-07-10,0.781
AMZN,2001-07-11,0.767
AMZN,2001-07-12,0.824
AMZN,2001-07-13,0.849
AMZN,2001-07-16,0.801
AMZN,2001-07-17,0.818
AMZN,2001-07-18,0.798
AMZN,2001-07-19,0.824
AMZN,2001-07-20,0.849
AMZN,2001-07-23,0.802
AMZN,2001-07-24,0.603
AMZN,2001-07-25,0.576
AMZN,2001-07-26,0.617
AMZN,2001-07-27,0.613
AMZN,2001-07-30,0.628
AMZN,2001-07-31,0.625
AMZN,2001-08-01,0.625
AMZN,2001-08-02,0.609
AMZN,2001-08-03,0.608
AMZN,2001-08-06,0.595
AMZN,2001-08-07,0.58
AMZN,2001-08-08,0.556
AMZN,2001-08-09,0.523
AMZN,2001-08-10,0.497
AMZN,2001-08-13,0.506
AMZN,2001-08-14,0.527
AMZN,2001-08-15,0.504
AMZN,2001-08-16,0.491
AMZN,2001-08-17,0.5
AMZN,2001-08-20,0.52
AMZN,2001-08-21,0.495
AMZN,2001-08-22,0.51
AMZN,2001-08-23,0.482
AMZN,2001-08-24,0.512
AMZN,2001-08-27,0.507
AMZN,2001-08-28,0.499
AMZN,2001-08-29,0.459
AMZN,2001-08-30,0.435
AMZN,2001-08-31,0.447
AMZN,2001-09-04,0.43
AMZN,2001-09-05,0.383
AMZN,2001-09-06,0.408
AMZN,2001-09-07,0.426
AMZN,2001-09-10,0.432
AMZN,2001-09-17,0.375
AMZN,2001-09-18,0.365
AMZN,2001-09-19,0.366
AMZN,2001-09-20,0.374
AMZN,2001-09-21,0.374
AMZN,2001-09-24,0.373
